Patent_ID,Patent_abstract,cleaned_and_stemmed_nouns_verbs_abstract
JPS6292799A,"PURPOSE:To eliminate the need for various adjustment such as the adjustment of a level by detecting voltage corresponding to the currents of field windings having each phase, detecting the position of a rotor by comparing the voltage and the value of a previously memorized saturation curve and controlling a drive signal. CONSTITUTION:Currents flowing through windings are detected by resistors R1, R2, R3, R4 for detecting winding currents. The saturation curves of currents flowing through the windings are memorized previously to a memory 50. Detected voltage and the values of the saturation curves memorized to the memory are compared by comparators CP1-CP4. A CPU 40 and an I/O interface 20 output drive signals for the next steps when differences among detecting voltage values and the values of the saturation curves reach a predetermined value.",purpos elimin need adjust adjust level detect voltag correspond current field wind have phase detect posit rotor compar voltag valu memor satur curv control signal constitut current flow wind are detect resistor r r r r detect wind current satur curv current flow wind are memor memori detect voltag valu satur curv memor memori are compar compar cp cp a cpu o output drive signal step differ detect voltag valu valu satur curv reach valu
CN1203341A,"The invention discloses a microwave oven, which has a door can prevent from choke recess being deformed in the process of the door mounting so as to sufficiency achieve the efficiency (viz. prevent microwave leaking) of the choke recess. A door of a microwave oven includes an outer cover defining an exterior of the door, a door frame coupled to the outer cover and forming a choke recess for preventing microwave leakage, and a bracket including two parallel walls surrounding the choke recess and fixing the door frame to the outer cover. One of the parallel walls of the bracket contacts a wall of the door frame forming a front surface of the choke recess so as to prevent the choke recess from being deformed when the door is being assembled.",invent disclos microwav oven ha door prevent choke recess be deform process door mount suffici achiev effici prevent microwav leak choke recess a door microwav oven includ outer cover defin exterior door door frame coupl outer cover form choke recess prevent leakag bracket includ wall surround choke recess fix door frame outer cover wall bracket contact wall door frame form surfac choke recess prevent choke recess be deform door is be assembl
JP2001157476A,"PROBLEM TO BE SOLVED: To provide a controller for a motor capable of shortening a time from the start of the motor up to the stop of the motor. SOLUTION: The controller 1 for the motor comprises an NC program storage unit 11, a rotary amount calculator 12, a speed command value calculator 13, an integrator 14, a PID control unit 15, a current control circuit 16, a DC motor 17, a differentiator 18 and a gain coefficient setter 19. The setter 19 stores a predetermined rotary amount Pb to become a threshold value. The setter 19 reads a target rotary amount PO calculated by the calculator 12, and judges whether the amount PO is large than the value Pb or not. When the amount PO is smaller than the value Pb, individually set constants (a), (b) and (c) are respectively multiplied by a proportional gain Kp, an integrating gain Ki and a differentiating gain Kd set by the unit 15.",problem to be solv provid control motor shorten time start motor stop motor solut control motor compris nc program storag unit amount calcul speed command valu calcul integr pid control unit control circuit dc motor differenti gain coeffici setter setter store predetermin amount pb becom valu setter read target amount po calcul calcul judg amount po is valu pb amount po is valu pb set constant b c are multipli gain kp integr gain ki differenti gain kd set unit
US6757725B1,"A management sub-system is associated with a host computer system. The host system includes a network interface controller to facilitate transmissions between the host system and a distributed computer network. In addition, the management sub-system and host computer share an Ethernet network interface controller (NIC), which is assigned at least two different addresses. The management NIC includes decode logic that detects either of the addresses assigned to it, and routes the associated data packet to the management processor, or to the host processor. As a result, all management operations to either the management sub-system or the host system may be routed through the management NIC, while other standard operations may be routed through the host NIC. In addition, the management NIC may be used as a back-up or spare for the host NIC in the event it fails, or becomes overly busy.",manag sub system is associ host comput system host system includ network interfac control facilit transmiss host system distribut comput network addit manag sub system host comput share ethernet network interfac control nic is assign address manag nic includ decod logic detect address assign rout associ data packet manag processor host processor result manag oper either manag sub system host system be rout manag nic oper be rout host nic addit manag nic be use back spare host nic event fail becom
CN1761926A,"The present invention relates to methods, devices, computer program products as well as a signal for providing privacy to a user in relation to data, which data can be a content identifier (cr_id) for identifying content. For that reason a usage right certificate (UR) generated in relation to the data, includes the data (cr_id), concealed user identifying information (for example by using (H(PK//RAN)) and random data (RAN)) enabling the verification of the user identity in the user identifying information. In this way a user is guaranteed privacy in relation to information, such as content he has purchased.",invent relat method devic comput program product signal provid privaci user relat data data be identifi identifi content reason usag certif ur gener relat data includ data conceal identifi inform exampl use h pk ran random data ran enabl verif user ident user identifi inform way user is guarante privaci relat inform content ha purchas
US6279455B1,"Past pistons have been susceptible to reduced longevity due to increased forces of combustion thereon during operating cycles of an engine. The present two piece unitary piston increases the longevity of pistons used with increased forces of combustion. For example, a head member has a bottom surface and a support surface. And, a skirt member defines an upper outer support surface and an upper inner support surface. The head member and the skirt member have a preestablished material strength being generally the same. The head member and the skirt member are joined at an interface of the bottom surface and the upper outer support surface and the interface of the support surface and the upper inner support surface respectively by a welding process. The force of combustion acting on the crown portion is resisted by the upper outer support surface being in contacting relationship with the bottom surface. Thus, the skirt member structure supports and resists the bending moment of the combustion forces on the head member.",piston have been longev forc combust thereon oper cycl engin piec piston increas longev piston use forc combust exampl head member ha surfac support surfac member defin outer support surfac inner support surfac head member skirt member have preestablish materi strength be head member skirt member are join interfac surfac outer support surfac interfac support surfac inner support surfac weld process forc combust act portion is resist outer support surfac be contact relationship surfac thu member structur support resist moment combust forc head member
US6505058B1,The present invention provides a method for determining whether to wake up a mobile station. The mobile station includes first configuration parameters relating to a base station. The method includes the steps of receiving a configuration change indicator at the mobile station. The configuration change indicator is indicative that the first configuration parameters relating to the base station are different than second configuration parameters that currently relate to the base station. The method further includes waking up the mobile station to receive the second configuration parameters.,invent provid method determin wake station station includ configur paramet relat base station method includ step receiv configur chang indic station configur chang indic is configur paramet relat base station are configur paramet relat base station method includ wake station receiv configur paramet
US6074434A,"A server computer selects code updates to download to a client computer as follows. The server computer identifies code updates which are consistent with basic system characteristics of the client computer. Then, the server computer sends to the client computer one or more ""recognizer"" programs which execute in the client computer to determine whether the client computer has a version other than a current version of the consistent code updates. The client sends the results to the server computer which generates a list of those code updates which are consistent with the basic system characteristics, and represent programs that exist on the client computer for which an update would be appropriate. The server computer also identifies new data which is consistent with attributes of a user of the client computer. Then, the server computer sends to the client computer one or more recognizer programs which execute in the client computer to determine whether the client computer already has the consistent new data. The client sends the results to the server computer which generates a list of that new data which is consistent with the user attributes and not currently resident in the client computer.",server comput select updat download client comput follow server comput identifi code updat are system characterist client comput server comput send client comput recogn program execut client comput determin client comput ha version version code updat client send result server comput gener list code updat are system characterist repres program exist client comput updat be server comput identifi data is attribut user client comput server comput send client comput recogn program execut client comput determin client comput ha data client send result server comput gener list data is user attribut resid client comput
JP2005079006A,"PROBLEM TO BE SOLVED: To improve fuel economy performance of a fuel cell by reducing an amount of discharged hydrogen gas during purging.  SOLUTION: Unreacted hydrogen gas discharged from hydrogen pole outlet is circulated to hydrogen supply passage through a hydrogen circulation pipe 14. When hydrogen pole water clogs, or inpurity gas is stored in the hydrogen circulation passage, the hydrogen pole discharge gas is discharged to a tank 30 through a hydrogen discharge pipe 31 by opening a first opening/closing valve 35. A hydrogen separation membrane 60 for separating hydrogen from the discharge gas is provided in the tank 30. A pressure sensor 40 senses hydrogen pole outlet pressure P0, and a pressure sensor 41 senses internal pressure P1 in the tank 30. When an the opening/closing valve 35 is opened, a controller, not shown, drives a pump 34 as first flow rate control means so that hydrogen is returned to the hydrogen circulation passage from the tank 30 while keeping the difference pressure of the hydrogen pole outlet pressure P0 and the internal pressure P1 of the tank 30 constant. A water pump 52 provides water in use for humidification from the tank 30 to a humidifier 50 through a water pipe 51.  COPYRIGHT: (C)2005,JPO&NCIPI",problem to be solv improv fuel economi perform fuel cell reduc amount discharg hydrogen ga purg solut unreact hydrogen ga discharg hydrogen outlet is circul hydrogen suppli passag hydrogen circul pipe hydrogen water clog inpur ga is store hydrogen circul passag hydrogen pole discharg ga is discharg tank hydrogen discharg pipe open open close valv a hydrogen separ membran separ hydrogen discharg ga is provid tank a pressur sensor sens outlet pressur p pressur sensor sens pressur p tank open close valv is open control shown drive pump rate control mean hydrogen is return hydrogen circul passag tank keep differ pressur hydrogen outlet pressur p pressur p tank constant a water pump provid water use humidif tank humidifi water pipe copyright c jpo ncipi
US6407782B1,"Disclosed is a method of fabricating array substrates (and the resulting substrates themselves) for use in a liquid crystal display device, one such method including: forming a gate line having a gate electrode on a substrate; forming a color filter layer on the substrate, the color filter layer being spaced apart; forming an insulating layer; forming a semiconductor layer and an ohmic contact layer; forming a data line crossing the gate line; forming source and drain electrodes on the active layer to produce an intermediate structure; forming a protecting layer of transparent insulating material on the intermediate structure; and forming a pixel electrode on the protecting layer while contacting the drain electrode through the drain contact hole. Some processing steps can be eliminated by using the gate and date lines as the black matrix. Having the insulation layer between data line and pixel electrode include BCB can reduce the parasitic capacitance between them.",disclos is method fabric array substrat substrat use crystal display devic method includ form gate line have gate electrod substrat form color filter layer substrat color filter layer be space form insul layer form semiconductor layer contact layer form data line cross gate line form sourc drain electrod layer produc structur form protect layer insul materi structur form pixel electrod protect layer contact drain electrod drain contact hole step be elimin use gate date line matrix have insul layer data line pixel electrod includ bcb reduc capacit
CN200410080097.8,"The invention discloses a method to have a multipoint video conference with terminal dial. Wherein, preparing two special service numbers to starting conference and add conference; terminal uses special numbers as prefix with necessary parameter information as character string to apply to registration server by dial; with identification, the registration server transmits request to multipoint control unit to control and hold conference by latter. This invention is simple and convenient to user without IT background, and benefits to spread to common user.",invent disclos method have multipoint video confer wherein prepar servic number start confer add confer use number prefix paramet inform charact string appli registr server dial identif registr server transmit request multipoint control unit control hold confer latter invent is user it background benefit spread user
CN200410082878.0,"The process of detecting net carbide in bearing steel in the annealing process includes the steps of: polishing the sample, boiling in alkali sodium picrate solution for 12-18 min, flushing with clear water, blowing to dry, observing in microscope the clear black net carbide, and finding out the serious part for comparison and grading. Where, the alkali sodium picrate solution consists of picric acid, sodium hydroxide and water in the weight ratio of 1 to 5 to 20.",process detect carbid bear steel anneal process includ step polish sampl boil sodium picrat solut min flush water blow dri observ microscop carbid find part comparison grade alkali sodium picrat solut consist acid sodium hydroxid water weight ratio
US20040236966A1,"Systems and methods of mitigating attacks, such as Denial of Service (DoS) attacks, in a communications network are presented. Source addresses of packets received at network devices are monitored in relation to known reliable addresses stored in a decision engine. If the source address, as stored in a source table, is known as being legitimate the packets are placed in a high priority queue for transmission at the highest rate. Packets with an unknown address are placed in a lower priority queue, the source address stored in a different source table, and the packet is serviced at a lower rate. Packets that become known to be legitimate are moved from the unknown table to the table from which high priority queues are serviced. In this way, an attacker that employs spoofing techniques is prevented from overtaxing network resources.",system method mitig attack denial servic do attack commun network are present sourc address packet receiv network devic are monitor relat known address store decis engin sourc address store sourc tabl is known be packet are place prioriti queue transmiss rate packet address are place prioriti queue sourc address store sourc tabl packet is servic rate packet becom known be are move tabl tabl prioriti queue are servic way attack employ spoof techniqu is prevent overtax network resourc
JPH1072762A,"PROBLEM TO BE SOLVED: To perform a modification of fibers capable of steeply shortening a required time and improving feeling and flexibility of the fibers by dipping the fibers in a shape of tow, etc., in a specific ozone water. SOLUTION: Fibers such as cellulosic fibers are modified by dipping the fibers in a shape of tow, yarn, woven material or knit material, etc., into ozone water obtained by dispersing an ozone-containing gas comprising ozone and oxygen or air into water in a shape of a bubble having <=0.08mm diameter (concentration is preferably >=35mg/L). Preferably, before dipping the fibers into the ozone water, the fibers are dipped into warm water and cooled by dipping into water at a room temperature, then dipped into the ozone water.",problem to be solv perform modif fiber steepli shorten time improv feel flexibl fiber dip fiber shape tow etc ozon water solut fiber fiber are modifi dip fiber shape tow yarn woven materi knit etc ozon water obtain dispers ozon contain ga compris ozon oxygen air water shape have mm diamet concentr is l prefer dip fiber ozon water fiber are dip water cool dip water room temperatur dip ozon water
US5070330A,"A keyboard (2) has two transverse arrays of conductors (R0-R13, C0-C7) defining a number of rows and columns of cross-points at each of which a key is positioned whereby depression of a key causes the conductors at the corresponding cross-points to be electrically connected. A scanning device (1) connected to each of the conductors and adapted during a scanning operation to apply a high or low potential to all the conductors of the two arrays and subsequently sequentially to apply a potential of the opposite type to each conductor of one array and to monitor the potential of the conductors of the other array such that if the potential of a conductor of the other array changes, this indicates that the key at the corresponding cross-point is depressed. The scanning device is connected directly to each of the conductors of the arrays, and an indicating device (4,5) is connected between one of the row conductors and a power supply, the condition of the indicating device being determined in accordance with the potential on the row conductor. A diode (7,9) is connected between the row conductor (R10) and the indicating device (5) so that if a cross-point (17) connected to the row conductor is depressed at the same time as a cross-point (18) in an adjacent row and the same column, the condition of the indicating device will not change when the adjacent row is scanned.",keyboard ha transvers array conductor r r c c defin number row column cross point key is posit depress caus conductor cross point be connect a scan devic connect conductor adapt oper appli potenti conductor array appli potenti type conductor array monitor potenti conductor array potenti conductor array chang indic key cross point is depress scan devic is connect conductor array devic is connect row conductor power suppli condit indic devic be determin accord potenti row conductor diod is connect row conductor r devic cross point connect row conductor is depress time cross point row column condit indic devic chang row is scan
CN200710077483.5,"The invention discloses a method, a network system and a network device for transforming dynamic strategies. The method is applied to an access network and a service network, and comprises: the access network and the service network are interactive with each other and determine communication parameters through consultation; the access network and the service network determine a communication relation between the access network and the service network through consultation according to the communication parameters; and the access network and the service network transform strategy information from the other party into strategies in a local network according to the communication relation, so as to carry on a session. The method can automatically establish a strategy communication interface between A-RACF of wholesalers and A-RACF of retailers, so as to provide a dynamic communication mechanism for communication between the A-RACF of the wholesalers and the A-RACF of the retailers, thereby the method reduces the workload, is more flexible and then is suitable for future nomadic demand.",invent disclos method network system network devic transform strategi method is appli access network servic network compris access network servic network are commun paramet consult access network servic network determin commun relat access network servic network consult accord commun paramet access network servic network transform strategi inform parti strategi network accord commun relat carri session method establish strategi commun interfac a racf wholesal a racf retail provid commun mechan commun a racf wholesal a racf retail therebi method reduc workload is is demand
CN200710175433.0,"The utility model discloses a method for performing the isolation prompt to the illegal client terminal, which comprises the following steps: a gateway device receives a handshake message sent on a newly-initiated conversation by an identified illegal client terminal, and sends the handshake message to the server, which then performs the handshake process of the conversation with the illegal client terminal; the gateway device records the conversation as an isolated conversation; after the handshake process, the gateway device snoops the message on the conversation, after monitoring successfully, the conversation is identified as an isolation conversation according to the records, then an isolation prompt will be sent to the illegal client terminal. The utility model also discloses a gateway device and a system for sending isolation prompts to illegal client terminals. The utility model reduces the difficulty in realizing the gateway device, which is favorable for the operation and implementation of business.",util model disclos method perform isol prompt client termin compris step gateway devic receiv messag sent initi convers client termin send messag server perform handshak process convers client gateway devic record convers convers handshak process gateway devic snoop messag convers monitor convers is identifi isol convers accord record isol prompt be sent client termin util model disclos gateway devic system send isol prompt illeg client termin util model reduc difficulti realiz gateway devic is oper implement busi
CN1794849A,"Mobile terminals (2) for transmitting first signaling signals (11) according to first wireless technologies to first networks (3) and for transmitting second signaling signals (12) according to second wireless technologies to second networks (4), which first signaling signals (11) comprise first information for informing the first networks (3), which second signaling signals (12) comprise second information for informing the second networks (4), and which first and second wireless technologies are different from each other, get a better efficiency by letting the first signaling signals (11) comprise the first information and the second information. This way, the power consumption of the mobile terminals (2) is reduced and the signaling efficiency is increased. The first/second information comprises first/second location information and/or comprises first/second paging-response information.",termin transmit signal signal accord wireless technolog first network transmit signal signal accord wireless technolog second network signal signal compris inform inform network second signal signal compris inform inform network wireless technolog are get effici let signal signal compris inform inform way power consumpt termin is reduc effici is increas inform compris locat inform compris page respons inform
US6061715A,"On an embedded device with a web server, pages are marked as having non-cacheable HTML portions and cacheable graphics portions. Marking the HTML portion as non-cacheable allows for the retrieval of a web page containing the latest status information without retrieving the graphics images. A refresh function is provided that allows for the comparing of non-cached portion time stamps with the stamps of the page on the web server. When the time stamp of the page on the web server is more current than the time stamp of the non-cached portion, the non-cacheable portion of the web page is retrieved from the web server. Retrieving the non-cacheable HTML portion from the web site without retrieving the cached portion reduces the amount of time needed to refresh the display image. A timer may be employed to refresh the web page at predetermined intervals, while using the current URL or the history list of the browser to reach the desired web site and retrieve the current status of the embedded device. The refresh function may be activated by a button available on the browser or by a refresh button on the web page.",devic web server page are mark have html portion graphic portion mark html portion non allow retriev page contain statu inform retriev graphic imag a function is provid allow compar non cach portion time stamp stamp page web server time stamp page web server is time stamp non cach portion non portion page is retriev web server retriev non html portion web site retriev portion reduc amount time need refresh display imag timer be employ refresh page predetermin interv use url histori list browser reach web site retriev statu devic function be activ button browser button web page
JP2006094341A,"PROBLEM TO BE SOLVED: To provide a mobile communications terminal equipment and its intermittent receiving method for realizing a reduction in electric power consumption of the mobile communications terminal equipment and a call starting using a PTT method with short waiting time when providing a call using the PTT (Push-to-Talk) method.  SOLUTION: The mobile communications terminal equipment receives an intermittent transmission at a longwise intermittent receiving cycle in a waiting state in the case of having no membership of the PTT session (step S14), while with the membership of the PTT session and in a waiting state where a PTT call is in a rest condition, the mobile communications terminal equipment receives an intermittent transmission at a short intermittent receiving cycle (step S23).  COPYRIGHT: (C)2006,JPO&NCIPI",problem to be solv provid commun equip intermitt receiv method realiz reduct power consumpt commun equip call start use ptt method wait time provid call use ptt push talk solut commun equip receiv transmiss longwis intermitt receiv cycl wait state case have membership ptt session step s membership ptt session wait state ptt call is rest condit commun equip receiv transmiss intermitt receiv cycl step s copyright c jpo ncipi
US20060034407A1,"In a radio network controller (RNC), a covariant matrix and a database are updated. The RNC then detects that a first base station's time-error-variance exceeds a predetermined threshold. In response, the RNC signals to a user-equipment (UE) to measure a time difference of arrival (TDOA) between signals transmitted from the first base station and a reference base station. The UE measures the requested TDOA between the designated base stations and reports the measurement results back to the RNC. The RNC then compares the measured TDOA with a TDOA value stored in the database. Based on the comparison, the RNC signals to the first base station to adjust its time base.",radio network control rnc matrix databas are updat rnc detect base station time error varianc exce threshold respons rnc signal equip ue measur time differ tdoa signal transmit base station refer base station ue measur request tdoa base station report measur result rnc rnc compar tdoa tdoa valu store databas base comparison rnc signal base station adjust time base
DE10117687A,"The invention relates to a novel proton-conducting membrane based on polyazoles that, due to its excellent chemical and thermal properties, can be used in a diverse manner and is suited, in particular, for use as a polymer electrolyte membrane (PEM) for producing membrane electrode units for so-called PEM fuel cells.",invent relat proton conduct membran base polyazol chemic properti be use manner is suit use polym electrolyt membran pem produc membran electrod unit call pem fuel cell
CN200610062523.4,"The present invention provides a backlight module and a liquid crystal display using the backlight module. The backlight module comprises a light guide plate. Wherein, the light guide plate is composed of a light input surface and a frame to hold the light guide plate. The frame is composed of at least one lateral wall, one luminous element arranged towards the light input surface of the light guide plate and one detachable elastic element arranged on the lateral wall of the frame.",invent provid backlight modul crystal display use backlight modul backlight modul compris guid plate wherein guid plate is compos input surfac frame hold guid plate frame is compos wall element arrang toward light input surfac guid plate element arrang wall frame
CN200710128426.5,"The system includes master control board (MCB) of main use and standby MCB. MCB includes monitoring backup module (MBM). The method includes steps: monitoring data bus of MCB; based on monitored data addresses to determine whether data backup is needed to carry out; if yes, then sending data corresponding to the data addresses to standby MCB for backup. The invention adds a MBM for MCB of main use and standby MCB. Using MBM accomplishes data backup between MCB of main use and standby MCB so as to lighten workload of CPU, and raises integral performance of communication system.",system includ control board mcb use mcb mcb includ monitor backup modul mbm method includ step monitor data bu mcb base data address determin data backup is need carri ye send data correspond data address standbi mcb backup invent add mbm mcb use standbi mcb use mbm accomplish data backup mcb use mcb lighten workload cpu rais perform commun system
DE19831869A1,"Titanium dioxide and/or iron oxide pigments based on a lamellar substrate are used for coloring food and pharmaceutical products. Titanium dioxide and/or iron oxide pigments based on a lamellar substrate are used for coloring food and pharmaceutical products. Independent claims are also included for:  (1) the production of food and pharmaceutical products colored with titanium dioxide and/or iron oxide pigments by adding the pigments, alone or in combination with other pigments or dyes, to the products during or after their manufacture; and (2) food and pharmaceutical products containing titanium dioxide and/or iron oxide pigments based on a lamellar substrate.",titanium dioxid iron pigment base substrat are use color food product titanium dioxid iron pigment base substrat are use color food product independ claim are includ product food product color titanium dioxid iron pigment ad pigment combin pigment dye product manufactur food product contain titanium dioxid iron pigment base substrat
CN2571776Y,"The utility model relates to a flower picking device, which is characterized in that the flower picking device comprises a cotton plucker, a cotton condenser, a cotton inlet box and a conveying chain, wherein, the cotton plucker is communicated with the cotton condenser through a cotton transmission pipe; the cotton condenser, the cotton inlet box and the conveying chain are all fixed on a machine frame; the cotton condenser is fixed on an inlet of the cotton inlet box; the front part of the conveying chain is fixed on the lower opening part of the cotton inlet box; the conveying chain is in transmission connection by a motor, a guide wheel, a traction roller and a transparent conveying curtain; the traction roller is connected to the machine frame and a side support through a bearing and rotates in clockwise rotation following the transparent conveying curtain. The flower picking device has the advantages of higher quality of flower picking, high work efficiency, high automatization, and lower labor intensity of workers.",util model relat flower pick devic is character devic compris cotton plucker cotton condens cotton inlet box convey chain wherein cotton plucker is commun cotton condens cotton transmiss cotton condens cotton inlet box convey chain are fix machin frame cotton condens is fix inlet cotton inlet part convey chain is fix part cotton inlet convey chain is transmiss connect motor guid wheel traction roller convey curtain traction roller is connect machin frame side support bear rotat clockwis rotat follow convey curtain flower pick devic ha advantag qualiti flower pick work effici automat labor intens worker
JPH11244401A,"PROBLEM TO BE SOLVED: To provide a radiotherapy device capable of measuring dosage distribution around the irradiation field of radiation beams. SOLUTION: A radiation detector 12 is fixed with a screw or the like to the lower part of the end face 11A on an irradiation field side of a leaf 11 constituting a multi-division collimator 4 for limiting the irradiation field 8 of the radiation beams emitted from the radiation source of the gantry of this radiotherapy device. The radiation detector 12 is arranged so as to be almost orthogonal to the irradiation direction of the radiation beams. Since the relation of the irradiation field 8 formed by the leaf 11 of the multi-division collimator 4 and the arrangement of the radiation detector 12 becomes like the figure (c), even when the shape of the irradiation field 8 of the radiation beams is complicated, the dosage distribution at the peripheral part of the irradiation field is measured.",problem to be solv provid radiotherapi devic measur dosag distribut irradi field radiat beam solut radiat detector is fix screw part end face a irradi field side leaf constitut divis collim limit irradi field radiat beam emit radiat sourc gantri radiotherapi devic radiat detector is arrang be irradi direct radiat beam relat irradi field form leaf multi divis collim arrang radiat detector becom figur c shape irradi field radiat beam is complic dosag distribut part irradi field is measur
US6577649B1,"Apparatus for multiplexing electronic data-words provided by a plurality of input sources operating in accordance with respective input clocks which may be mutually asynchronous. The data-words are multiplexed to a common output operating in accordance with a system clock. The apparatus includes delay circuitry, which generates a plurality of select signals responsive to the system clock, corresponding respectively to the plurality of input sources. The apparatus also includes a plurality of synchronizers respectively associated with the plurality of input sources, each synchronizer including a series of memory buffers through which data-words from the respective input source are transferred. The series of memory buffers includes at least an input buffer, which receives the data-words from the respective input source in accordance with the respective input clock, and an output buffer, which provides the data-words for output in accordance with the corresponding select signal. The apparatus further includes a multiplexer which receives the data-words from the output buffers of the plurality of synchronizers responsive to the respective select signals, and which combines the data-words into the common output in accordance with the system clock.",apparatu multiplex data word provid plural input sourc oper accord input clock be data word are multiplex output oper accord system clock apparatu includ delay circuitri gener plural signal respons system clock correspond plural input sourc apparatu includ plural synchron associ plural input sourc synchron includ seri memori buffer data word input sourc are transfer seri memori buffer includ input buffer receiv data word input sourc accord input clock output buffer provid data word output accord correspond signal apparatu includ multiplex receiv data word output buffer plural synchron respons select signal combin data word output accord system clock
US5027104A,"A vehicle security device is disclosed which includes a multiplicity of video cameras mounted in a vehicle in hidden fashion, and designed to be activated responsive to sensing of a condition such as, for example, unauthorized entry of a vehicle, striking of the vehicle and the like. A controller controls activation of the cameras as well as activation of a local and remote alarm system. A recording mechanism may be provided to record that which is observed by the cameras and a further transmitter may be employed to transmit video pictures to a remote location.",vehicl secur devic is disclos includ multipl video camera mount vehicl fashion design be activ sens condit exampl entri vehicl strike vehicl a control control activ camera activ alarm system a record mechan be provid record is observ camera transmitt be employ transmit video pictur locat
JP2003257229A,"PROBLEM TO BE SOLVED: To provide a backlight that has small power consumption and can display a high luminance and has a long life with little noise generation, and a liquid crystal display device.  SOLUTION: This is a backlight 10 that is installed on the back side of an illuminated object 20 and illuminates the illuminated object from the back side and comprises a light guide plate 12, an intermediate light guide body 13A that is arranged along one side end, and a light source 13B that is provided at the end part of the intermediate light guide body. One side of the light guide plate is made a reflecting face 12c that is formed of a concavo-convex shape for reflecting the light propagating inside and the other side of the light guide plate is made an exit face 12b for radiating the light reflected by the reflecting face. And a plurality of grooves 14 that are formed by a low slope part 14a and a steep slope part 14b are formed continuously on the reflecting face in stripe form and the illuminated object is provided at the outside of the exit face.  COPYRIGHT: (C)2003,JPO",problem to be solv provid backlight ha power consumpt display lumin ha life gener crystal display devic solut is backlight is instal side object illumin object side compris guid plate light guid bodi a is arrang side end sourc b is provid end part light guid bodi side guid plate is made reflect face c is form concavo convex shape reflect propag insid side guid plate is made exit face b radiat light reflect reflect face plural groov are form slope part slope part b are form reflect face form object is provid outsid exit face copyright c jpo
WO1997028658A2,"A private communication network through which a plurality of member users communicate using the public switched telephone network (PSTN) (10) is disclosed herein. Each member user utilizes either a modified land line telephone (48) directly connected to PSTN (10), or uses a modified mobile telephone (22) operatively coupled to the PSTN through a wireless communication system (14). The private communication network includes network call manager (40) having a telephone network interface (92) for establishing a telephone connection with each of a plurality of telephone lines (44) of the PSTN (20). Each of the plurality of telephone lines (44) is associated with one of the plurality of member users. The network call manager (40) further includes a switch matrix (110), coupled to the telephone network interface, for providing an information signal received from an active member user over a selected telephone line to the remaining non-active member users.",commun network plural member user commun use switch telephon network pstn is disclos member user util land line telephon connect pstn use mobil telephon coupl pstn commun system commun network includ network call manag have telephon network interfac establish telephon connect plural telephon line pstn plural telephon line is associ plural member user network call manag includ switch matrix coupl telephon network interfac provid inform signal receiv member user select telephon line remain member user
CN1236247A,"A reception interface unit in a transmission system wherein time series data is divided into data groups and a data packet with reproduction specification time data specifying a time at which each data piece in the data groups should be reproduced, added to the data groups is transmitted on a transmission bus in a time division manner. The interface unit has a cycle timer for counting the reference time of the home device, a unit for extracting the reproduction specification time data in the data groups and storing the reproduction specification time data in a buffer, matching checking equipment and a PLL circuit. When the reference time on the transmission bus changes, the data stored in the buffer in the reproduction specification time data extraction unit and the data stored in the reception buffer are all deleted.",recept interfac unit transmiss system time seri data is divid data group data packet reproduct specif time data specifi time data piec data group be reproduc ad data group is transmit transmiss bu time divis manner interfac unit ha cycl timer count refer time home devic unit extract reproduct specif time data data group store reproduct specif time data buffer match check equip pll circuit refer time transmiss bu chang data store buffer reproduct specif time data extract unit data store recept buffer are delet
US7575467B2,"An electrically safe receptacle that in it's normal quiescent state will not have electrical current flow. Said electrically safe receptacle will be equipped with normally-open switches on one or both female conductors that are controlled by a strategically placed sensor to detect the insertion of a male plug. Detection of the male plug insertion will signal the normally open switches to close the circuit pathway and allow for the flow of electrical current to the device permitting normal operation. Insertion of a foreign conductive device such as a hair pin, knife blade, or metallic tool in one or both female conductors will fail to activate the sensor and thereby reduce or eliminate the possibility of accidental electrocution by preventing the flow of electrical current.",receptacl s state have flow said receptacl be equip switch conductor are control place sensor detect insert plug detect male plug insert signal switch close circuit pathway allow flow devic permit oper insert devic hair knife blade tool conductor fail activ sensor reduc elimin possibl electrocut prevent flow
CN02158910.0,"The multiple-CPU communication method includes the following steps: to set hung memory spaces connected to CPU for mutual access, for the CPU in the sending party to write data message to be sent into the memory space connected to the CPU in the receiving party, to set register for generating interruption signal to receiving party CPU, and for the receiving party CPU to receive the data message after accepting the interruption signal; for the CPU in the sending party to write control message to be sent into the buffering area of the intelligent I/O unit, to create interruption signal of intelligent I/O unit transmitted to receiving party CPU, and for the receiving party CPU to receive the control message from the buffering area of the intelligent I/O unit after accepting the interruption signal. The present invention transmits data via different interruptions and passages, solves the safety problem of transmitting important data and raises data transmitting speed.",cpu commun method includ step set memori space connect cpu access cpu send parti write data messag be sent memori space connect cpu receiv parti set regist gener interrupt signal receiv parti cpu receiv parti cpu receiv data messag accept interrupt signal cpu send parti write control messag be sent area intellig o unit creat signal intellig o unit transmit receiv parti cpu receiv parti cpu receiv control messag buffer area intellig o unit accept interrupt signal invent transmit data interrupt passag solv safeti problem transmit data rais data transmit speed
